2024-08-14 09:06:06.546 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:06:06.652 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:06:06.692 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:08:00.484 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:08:00.517 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:08:00.599 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:08:00.649 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:16:58.721 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:16:58.722 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:16:58.894 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:16:58.894 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:17:06.836 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:17:06.843 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:17:06.843 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:17:06.851 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:17:17.281 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:17:17.286 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:17:19.430 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:17:19.437 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:14.726 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:14.739 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:21.707 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:21.714 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:24.970 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:24.976 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:25.720 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:25.727 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:33.346 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:33.380 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:36.726 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:36.734 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:37.698 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:37.704 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:41.713 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:41.726 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:18:50.684 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:18:50.687 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:19:11.830 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:19:11.835 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:19:20.850 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:19:20.862 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:19:38.733 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:19:38.738 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:19:41.065 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:19:41.083 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:19:46.766 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:19:46.773 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:20:21.285 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:20:21.304 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:20:57.858 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:20:57.875 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:21:07.048 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:21:07.057 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:21:32.577 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:21:32.596 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:21:46.852 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:21:46.862 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:22:19.746 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
